Reférence;"Libellé type";Famille;Nom;Description;Conditionnement;Prix;"Unité de prix";"Origine production";"Tarif ACN ALLIER"
RYGUIRHH;Légume;Légumes;"CHOU BLANC  France";"De la famille des crucifères, le chou blanc est un chou pommé ou cabus à feuilles lisses. C’est un légume très apprécié dans toutes les cuisines du monde. C’est un des choux les plus faciles à préparer et à utiliser en cuisine. À la saveur douce et un tan";1;2,2;U;France;23.25
58X4QKX5;Légume;Légumes;"CHOU CHINOIS Espagne ";"En général, le chou chinois englobe une trentaine de variétés. C’est un légume à feuilles très prisé dans la cuisine chinoise et de bien de pays asiatiques. Sur les étals et dans nos assiettes, on retrouve cependant deux principales variétés : le pé-tsaï ";1;2,63;U;;23.25
82YAYUJP;Légume;Légumes;"CHOU FLEUR  France";"Le chou-fleur est un légume à la saveur fraîche et subtile. Il se reconnaît facilement par ses tiges florales, serrées les unes contre les autres. Sa tête forme une boule colorée blanc, jaune ou violet, qui égaie allègrement les préparations. Ce légume bi";1;1,92;U;;18.6
JRSWSTLB;Légume;Légumes;"CHOU KALE France ";"CHOU KALE France est un légume à la saveur légèrement amère. Il fait partie d’une ancienne variété de chou frisé non pommé. Ses feuilles vert foncé aux bords dentelés constituent sans doute son principal trait distinctif. Pauvre en calorie mais étonnammen";1;1,44;K;France;5.58
EG728SHN;Légume;Légumes;"CHOU PAK CHOI France ";;1;0,46;K;France;3.49
PGGLHFT7;Légume;Légumes;"CHOU POINTU  Espagne";;1;2,18;U;Espagne;20.93
9URGH7YZ;Légume;Légumes;"CHOU ROUGE  France";"Le chou rouge est un légume d’hiver qui séduit d’abord par ses couleurs vives. Il décore joliment les plats grâce à ses feuilles violettes, pourpres ou bleues étroitement serrées et ramassées en un pommeau. Ce légume se consomme cuit ou cru selon les préf";1;2,01;U;;23.25
HI2VLH1M;Légume;Légumes;"CHOU VERT FRISE  France";"Le chou vert frisé est un légume au goût unique, légèrement terreux et poivré. Il présente de longues feuilles aux bords frisés, de couleur vert foncé, avec parfois un soupçon de bleu. Préparé en salade ou en plats cuisinés, il apporte une touche de croqu";1;2,44;U;;18.6
XN26R1L4;Légume;Légumes;"CONCOMBRE LONG  Espagne";"Le concombre long Espagne est un légume à la saveur incroyablement fraîche mais assez fade. Il se consomme tel quel même s’il est recommandé de l’accompagner de condiments. Ce légume présente une forme longue et une robe verte. Il se caractérise par une f";1;0,86666666666667;U;Espagne;23.25
CHRDLCLV;Légume;Légumes;"COURGE BUTTERNUT Espagne ";;1;0,184;K;;2.56
WKJWP3VC;Légume;Légumes;"COURGETTE Espagne ";"La courgette Espagne est un légume à la saveur douce, avec un petit goût de noisettes. Il s’agit d’une courge, cueillie assez tôt. Elle se présente sous une forme allongée ou un peu plus ronde. Elle porte le plus souvent une robe verte même si certaines t";1;0,78;K;;4.63
CW7T5F95;Légume;Légumes;"COURGETTE France ";;1;0,29166666666667;K;France;6.18
G8DDNAV2;Légume;Légumes;"CURCUMA Brésil ";;1;2,76;K;;6.94
QUABK49V;Légume;Légumes;"ECHALOTE  France ";"L’échalote France est un légume utilisé en condiment alimentaire. Il se présente comme un bulbe d’un diamètre maximal de 55 cm. Appartenant à la même famille que l’ail et l'oignon, il devient un incontournable des préparations en cuisine. On le retrouve t";1;0,832;K;;4.63
JWDH9DP9;Légume;Légumes;"ENDIVE France ";"L’endive France est un légume au goût légèrement amère. Les intimes la connaissent plus sous le nom de « chicon ». Ce légume-feuille est présent sur les étals tout au long de l’année. Mais sa pleine saison se situe entre le mois d’octobre et le mois de ma";1;1,71;K;France;6.12
RP2UD26K;Légume;Légumes;"EPINARD France ";"Les épinards représentent à eux seuls un concentré de bienfaits pour la santé. C’est un légume feuille qui se consomme tant cru que cuit. Il se déguste frais et local durant le printemps. Il contient pas mal de nutriments d’intérêts : fer, fibres, antioxy";1;0,876;K;France;4.63
HDXAXI99;Légume;Légumes;"FENOUIL France ";"Le fenouil est un légume feuille avec une saveur anisée très caractéristique. On l’apprécie beaucoup en cuisine comme aromate de plats. On se sert le plus souvent de son bulbe blanc pour donner du croquant et un goût frais à des plats à base de poisson ou";1;0,6;K;France;5.58
P153JJ21;Légume;Légumes;"GINGEMBRE Pérou ";;1;1,64;K;;6.05
SUAU4MV2;Légume;Légumes;"NAVET JAUNE France ";"Le navet jaune est un légume à la chair fondante et délicatement sucrée. Egalement appelé « navet boule d’or », il ressemble à une racine ronde de couleur jaune. Il se prépare autant cuit que cru et se prête à de nombreuses recettes. D’origine biologique,";1;0,504;K;France;3.18
TJTR9EJL;Légume;Légumes;"OIGNON JAUNE France ";"L’oignon jaune France est un légume à la saveur très marquée, légèrement piquante, lorsqu’il est cru. Le cuire permet cependant d’en adoucir le goût. Ce n’est pas étonnant s’il s’invite dans de multiples recettes en tant qu’ingrédient principal ou exhaust";1;0,18;K;;2.33
GFPHHRZ4;Légume;Légumes;"OIGNON ROSE VRAC France ";;1;0,245;K;;2.95
1ASA4I61;Légume;Légumes;"OIGNON ROUGE France ";"L’oignon rouge France est un légume à la chair croquante et au goût assez fort. Cependant, il est légèrement plus doux et plus sucré que son cousin oignon jaune. Il se consomme surtout cru, coupé en rondelles, dans les sandwiches ou autres préparations no";1;0,238;K;;2.95
BTF97LFF;Légume;Légumes;"PANAIS France ";"Le panais France est un légume au bon goût sucré. A vue de nez, il ressemble assez à la carotte. Il s’agit d'une racine de forme allongée et dans les tons plutôt orange. C’est une star des plats d’hiver étant donné qu’il s’adapte à toutes les réparations,";1;0,588;K;;2.95
T26UCPAC;Légume;Légumes;"PATATE DOUCE CUITE France ";;1;3,45;K;France;5.27
TV4MJPKJ;Légume;Légumes;"PATATE DOUCE France ";"La patate douce France est un légume fortement appréciée pour son goût doux et sucré. Cette tubercule possède une chair dorée, riche fructose, dont la texture est similaire à cette de la pomme. Selon la variété, sa peau prend des teintes variées, allant d";1;0,71;K;France;4.42
BQ5FGQZG;Légume;Légumes;"PETIT POIS France ";;1;1,75;K;France;15.42
S2BIG9GF;Légume;Légumes;"POIREAU France ";"Le poireau fait partie des légumes les plus prisées en France. C’est un incontournable de sa gastronomie et compose de nombreuses recettes, car est facile à cuisiner. On le déguste aussi bien chaud en gratin que froid dans de la vinaigrette. Il se reconna";1;0,304;K;France;2.48
5IDVEXX9;Légume;Légumes;"POIVRON JAUNE Espagne ";"Le poivron jaune est issu de la même plante que le poivron vert et rouge. Il s’agit d’une couleur de maturation. Si on le laisse mûrir sur pied, il devient rouge. C’est un piment doux que l’on cueille à maturité. Il fait partie de la famille des Solanacée";1;0,954;K;France;5.43
R2MUNSU3;Légume;Légumes;"POIVRON ROUGE Espagne ";;1;0,954;K;France;5.43
XR1F224T;Légume;Légumes;"POMME DE TERRE AGRIA ( chair tendre ) France ";;1;0,14;K;France;2.02
3PNZ5XL9;Légume;Légumes;"POMME DE TERRE ALLIANS ( chair ferme ) France ";;1;0,135;K;France;2.02
3CEDXBAI;Légume;Légumes;"POMME DE TERRE ECRIN ( chair tendre ) France ";;1;0,135;K;France;1.32
WWATQTAF;Légume;Légumes;"POMME DE TERRE NOUVELLE RIKEA France ";;1;1,2;K;France;7.73
TIYBHFR7;Légume;Légumes;"RADIS  RAVE ROSE DE CHINE France  ";;1;0,504;K;;3.08
XL8FZ8XR;Légume;Légumes;"RADIS BLUE MEAT France  ";;1;0,504;K;;3.08
2R6L4HPR;Légume;Légumes;"RADIS NOIR France ";;1;0,464;K;France;3.08
IPUSA1QA;Légume;Légumes;"TOMATE CERISE GRAPPE Espagne ";;1;1,74;K;;6.18
J8UV225Y;Légume;Légumes;"TOMATE GRAPPE Espagne ";;1;0,624;K;;4.63
8U1EQ37J;Légume;Légumes;"TOMATE MARMANDE Espagne ";;1;0,35;K;Espagne;4.63
EAEK5STF;Légume;Légumes;"TOPINAMBOUR France ";;1;0,516;K;France;3.08
3YNHLE1E;Légume;Salades;"BATAVIA ROUGE  France";;1;1,25;U;France;17.02
8WWYXUCA;Légume;Salades;"BATAVIA VERTE  France";;1;1,25;U;France;17.02
I2AXM39S;Légume;Salades;"FEUILLE DE CHENE ROUGE  France";;1;1,2;U;France;17.02
LR9TH7QI;Légume;Salades;"LAITUE ROUGE  France";;1;0,975;U;France;17.02
T1DYUP1R;Légume;Salades;"LAITUE VERTE  France";;1;1,2;U;France;17.02
RXCJ7G7B;Légume;Salades;"POUSSES D'EPINARD  France ";;1;9,98;K;France;10.83
51D518SV;Légume;Salades;"ROUGETTE  France";;1;0,975;U;France;17.02
BSEFZNLA;Légume;Salades;"SCAROLE  France";;1;2,81;U;France;17.13
FVZZAHZG;Légume;Salades;"WASABINA France ";;1;7,8;K;;10.83
LA4I5VN7;Fruit;Aromates;"BASILIC EN POT France ";;1;3,18;U;France;16.09
8QF67CLW;Aromate;Aromates;"LAURIER  France";;1;1,38;U;;20.15
2REVPDDH;Légume;Aromates;"PERSIL FRISE  France";;1;1,07;U;;22.32
ICYEVAFG;Légume;Aromates;"THYM   France";"Connu sous l’autre nom de farigoule, le thym est un aromate qui n’a plus de secret pour nous en cuisine. C’est un composant incontournable du bouquet garni utilisé pour relever le goût des plats en sauce et pour les parfumer. Trouvant ses origines en Médi";1;1,84;U;France;20.15
SM8Y92KV;Fruit;Fruits;"ANANAS PAIN DE SUCRE Bénin  ";;1;1,04;K;;5.89
UKUSTUSM;Fruit;Fruits;"AVOCAT HASS Espagne ";;1;6,61;U;;29.76
UDSCVYA3;Fruit;Fruits;"BANANE ";;1;1,62;U;"République Dominicaine";38.73
5ARR2N8B;Fruit;Fruits;"CITRON Italie ";;1;0,44;K;;3.26
6GAV1VXC;Fruit;Fruits;"CITRON VERT Colombie ";;1;4,8;U;Colombie;28.21
YBU2UXN1;Fruit;Fruits;"CLEMENTINE Espagne ";;1;0,49;K;;3.88
UKH9AK5R;Fruit;Fruits;"FRAISE  France";;1;4,56;U;France;47.12
PPUJ1KTE;Fruit;Fruits;"FRAMBOISE  Espagne";;1;4,02;U;France;30.38
A1SF54XW;Fruit;Fruits;"FRUIT DE LA PASSION VIOLET ( maracuya ) Espagne ";;1;5,4;K;;16.28
5P4QLZ9R;Fruit;Fruits;"KIWI France ";;1;0,42;K;France;6.05
UKZMVRRV;Fruit;Fruits;"KIWI Italie  litée";;1;1,24;K;;5.12
FUV7JDQY;Fruit;Fruits;"KUMQUATT Espagne ";;1;2,71;K;;7.6
TDNLFFAV;Fruit;Fruits;"MANDARINE FEUILLE Espagne ";;1;0,38666666666667;K;Italie;4.19
EN6QRGPK;Fruit;Fruits;"MANGUE ATAULFO Mexique ";;1;2,08;K;;10.39
I5Q5APBB;Fruit;Fruits;"MELON  Maroc";;1;2,52;U;Maroc;28.86
91199YV2;Fruit;Fruits;"MYRTILLE  Espagne";;1;2,7;U;Portugal;30.38
7FDQ6UBP;Fruit;Fruits;"MYRTILLE VRAC Espagne ";;1;15,36;K;;23.23
5QJE94P2;Fruit;Fruits;"NOISETTE (Corse) France ";;1;1,98;K;France;12.38
RUIFU8MS;Fruit;Fruits;"NOIX France ";;1;1,55;K;;9.15
Z3V9UL2M;Fruit;Fruits;"ORANGE A JUS Espagne ";;1;0,345;K;Espagne;1.86
5NREHK91;Fruit;Fruits;"ORANGE DEMI SANGUINE Espagne ";;1;0,24;K;;3.41
J7G4XK4N;Fruit;Fruits;"ORANGE SOLARINO ( de table ) Sicile ";;1;0,43125;K;Espagne;3.88
ZHYDQGY4;Fruit;Fruits;"PAPAYE Espagne ";;1;1,35;K;;7.21
HFVQLA3F;Fruit;Fruits;"POIRE CONFERENCE Espagne ";;1;0,312;K;;5.58
27XKGIRH;Fruit;Fruits;"POMELOS ROSE Corse ";;1;0,276;K;France;4.42
T3RGKAGT;Fruit;Fruits;"POMME ARIANE France ";;1;0,21230769230769;K;France;3.57
1BCQZNWQ;Fruit;Fruits;"POMME BOSKOOP France ";;1;2,52;K;France;3.57
DEJ862M9;Fruit;Fruits;"POMME CANADA GRIS France ";;1;0,312;K;France;3.57
5VNCIDQY;Fruit;Fruits;"POMME CHANTECLER France ";;1;0,312;K;France;3.57
VSZV231C;Fruit;Fruits;"POMME CLOCHARD France ";;1;0,312;K;France;3.57
NAHE5ZD3;Fruit;Fruits;"POMME DALINETTE France ";;1;0,19384615384615;K;France;3.57
8KAXTKFS;Fruit;Fruits;"POMME DELICE D'OR France ";;1;0,315;K;France;3.57
L99DWQYF;Fruit;Fruits;"POMME GRANNY France ";;1;0,22153846153846;K;France;3.57
35Z5D99X;Fruit;Fruits;"POMME JULIET ( litée ) France ";;1;0,78;K;;3.57
H93WRVI3;Fruit;Fruits;"POMME PATTE DE LOUP France";;1;0,23071428571429;K;France;3.57
BAZRVRTP;Fruit;Fruits;"POMME REINETTE DES COTEAUX France ";;1;3,12;K;France;3.57
2GG2PYES;Fruit;Fruits;"POMME TOPAZ France ";;1;0,312;K;France;3.57
6BWLTN96;Fruit;Fruits;"POMME XELEVEN France ";;1;0,18307692307692;K;France;3.57
6PQS4F2N;Boisson;Boissons;"CIDRE BRUT BIOLOGIQUE France ";;1;4,8;U;France;6.2
QIB78HM6;Boisson;Boissons;"CIDRE DOUX BIOLOGIQUE France ";;1;4,8;U;France;6.2
2P991RUF;Boisson;Boissons;"JUS DE POMME BIOLOGIQUE France ";;1;3,6;U;France;4.65
EMHJCQXU;Boisson;Boissons;"JUS DE RAISIN Demeter France";;1;3;U;France;4.65
AN23RQEY;Boisson;Boissons;"PETILLANT DE POMME France  ";;1;4,8;U;France;6.2
KV8A6KFG;Miel;"Miels / Confitures";"CONFIT D AMANDE ";;1;26,4;U;France;102.3
5PAA3F7Q;Miel;"Miels / Confitures";"MIEL D'ETE DE CHATAIGNIER ";;1;13,2;U;France;148.8
XW5CLRF8;Miel;"Miels / Confitures";"MIEL D'ETE Demeter France  D. prod ";;1;13,2;U;France;118.8
C92AK4Y7;Miel;"Miels / Confitures";"MIEL DE BRUYERE ";;1;13,2;U;France;148.8
7C8GWWCF;Miel;"Miels / Confitures";"MIEL DE LAVANDE ";;1;13,2;U;France;148.8
AHTX9DC8;Miel;"Miels / Confitures";"MIEL DE PRINTEMPS Demeter France D. Prod  ";;1;13,2;U;France;118.8
MJXCM1WY;Miel;"Miels / Confitures";"MIEL TOUTES FLEURS D'ARDECHE ";;1;13,2;U;France;148.8
IIC7ADZ2;Boisson;Huiles;"HUILE D'OLIVE VIERGE EXTRA ( direct prod )";;1;4,8;U;France;16.2
J5MZH8HX;Boisson;Vinaigres;"VINAIGRE BALSAMIQUE ";;1;4,8;U;France;8.53
7WRJ8UX3;Boisson;Vinaigres;"VINAIGRE BALSAMIQUE BLANC ";;1;4,8;U;France;8.53
45N983VA;Fruit;;"ABRICOT SEC Turquie ";;1;3,29;U;Turquie;56.36
FWRTSN55;Fruit;;"ABRICOT SEC Turquie ";;1;1,98;K;Turquie;12.76
U95CEQXW;Fruit;;"AMANDE DECORTIQUEE VRAC Californie ";;1;2,4;K;"Californie USA";34.1
PRCAP9KS;Fruit;;"ARACHIDE SECHEE ITALIE ";;1;38,88;U;Italie;25.11
1TR9UGKP;Fruit;;"DATTE DEGLET Nouvelle récolt Afrique du Nord";;1;2,39;K;"Afrique du nord";15.42
HH4Q4KYF;Fruit;;"DATTE FRAICHE MEDJOOL Israël ";;1;5,56;K;Israël;21.55
HLIM31EE;Fruit;;"DATTE FRAICHE MEDJOOL USA ";;1;3,34;K;USA;21.55
3UFYFXBP;Fruit;;"DATTE MAZAFATI DE BAM Iran ";;1;8,07;U;Iran;72.58
1FNA9AP6;Fruit;;"FIGUE SECHE BAGLAMA Turquie ";;1;1,92;K;Turquie;16.74
Y2BVECP8;Fruit;;"RAISIN SEC SULTANINE Turquie carton ";;1;0,43333333333333;K;Turquie;6.05
UMA1J96J;Boisson;Autre;"GELEE DE POMMES France  ";;1;0,0049714285714286;U;France;4.5
SIUTB11P;Boisson;Autre;"PUREE DE POMMES France  ";;1;0,0048;U;France;4.34
E9MNENCE;Oeuf;;"OEUF FRAIS VRAC  FRANCE";;1;0,324;U;;12.56
AUZ9JLHG;"Non alimentaire";;"ARDOISE PVC BLANC 10 x 15 cm +PIQUE ";;1;1,82;U;;0
C5XENYMN;"Non alimentaire";;"Barquettes fraises 500g ";;1;0,13;U;;0
UBL21BWM;"Non alimentaire";;"BOITES A OEUFS";;1;38;U;;54.88
NJ8HEGEA;"Non alimentaire";;"Feuille kraft 40x60CM 40 GR ";;1;2,27;U;;0
IWE1R3QN;"Non alimentaire";;"SACS CABAS 26x14x32  AVEC POIGNEES ";;1;0,112;U;;0
RZW5RRFN;"Non alimentaire";;"SACS KRAFT ";;1;13,25;U;;0
